s/n,sample_index,sentence,pred_pair_index,pred_cause,pred_effect,pred_causality,pred_sententiality,best_gold_pair_index,gold_cause,gold_effect,gold_causality,gold_sententiality,exact_match,soft_token_overlap_match,soft_pair_score,pred_causality_norm,gold_causality_norm,pred_sententiality_norm,gold_sententiality_norm
27818,830,"Sporotrichosis is a subcutaneous mycosis caused by fungi of the genus Sporothrix sp. Phenotypic and genotypic differences have been associated with their geographic distribution, virulence, or clinical manifestation of sporotrichosis. In the past decade, the interest in identifying species of the Sporothrix sp. has been increasing, due to its epidemiological importance and, in consequence, is important to know how to preserve them for future studies, in culture collection",0,fungi of the genus Sporothrix sp.,sporotrichosis,Explicit,Intra,0,fungi of the genus Sporothrix sp,Sporotrichosis,Explicit,Intra,1,1,1.0,Explicit,Explicit,Intra,Intra
27818,830,"Sporotrichosis is a subcutaneous mycosis caused by fungi of the genus Sporothrix sp. Phenotypic and genotypic differences have been associated with their geographic distribution, virulence, or clinical manifestation of sporotrichosis. In the past decade, the interest in identifying species of the Sporothrix sp. has been increasing, due to its epidemiological importance and, in consequence, is important to know how to preserve them for future studies, in culture collection",1,"geographic distribution, virulence, or clinical manifestation",Phenotypic and genotypic differences,Implicit,Intra,0,fungi of the genus Sporothrix sp,Sporotrichosis,Explicit,Intra,0,0,0.0,Implicit,Explicit,Intra,Intra
27818,830,"Sporotrichosis is a subcutaneous mycosis caused by fungi of the genus Sporothrix sp. Phenotypic and genotypic differences have been associated with their geographic distribution, virulence, or clinical manifestation of sporotrichosis. In the past decade, the interest in identifying species of the Sporothrix sp. has been increasing, due to its epidemiological importance and, in consequence, is important to know how to preserve them for future studies, in culture collection",2,epidemiological importance,interest in identifying species of the Sporothrix sp.,Explicit,Inter,1,Sporothrix sp.'s epidemiological importance,the interest in identifying species of the Sporothrix sp. has been increasing in the past decade,Implicit,Intra,0,1,0.6376811594202898,Explicit,Implicit,Inter,Intra
24932,831,"Genetic evidence reveals causal relationships between specific sleep traits and PPD, including sleep apnea syndrome, sleeplessness/insomnia, and tiredness. Whether certain sleep health indicators suggest a risk of postpartum depression or sleep issues that are caused by PPD, both may offer insights into the prevention and treatment of PPD",0,specific sleep traits,PPD,Explicit,Intra,1,Specific sleep traits,PPD,Explicit,Intra,1,1,1.0,Explicit,Explicit,Intra,Intra
24932,831,"Genetic evidence reveals causal relationships between specific sleep traits and PPD, including sleep apnea syndrome, sleeplessness/insomnia, and tiredness. Whether certain sleep health indicators suggest a risk of postpartum depression or sleep issues that are caused by PPD, both may offer insights into the prevention and treatment of PPD",1,sleep apnea syndrome,PPD,Explicit,Intra,1,Specific sleep traits,PPD,Explicit,Intra,0,1,0.6666666666666666,Explicit,Explicit,Intra,Intra
24932,831,"Genetic evidence reveals causal relationships between specific sleep traits and PPD, including sleep apnea syndrome, sleeplessness/insomnia, and tiredness. Whether certain sleep health indicators suggest a risk of postpartum depression or sleep issues that are caused by PPD, both may offer insights into the prevention and treatment of PPD",2,sleeplessness/insomnia,PPD,Explicit,Intra,1,Specific sleep traits,PPD,Explicit,Intra,0,1,0.5,Explicit,Explicit,Intra,Intra
24932,831,"Genetic evidence reveals causal relationships between specific sleep traits and PPD, including sleep apnea syndrome, sleeplessness/insomnia, and tiredness. Whether certain sleep health indicators suggest a risk of postpartum depression or sleep issues that are caused by PPD, both may offer insights into the prevention and treatment of PPD",3,tiredness,PPD,Explicit,Intra,1,Specific sleep traits,PPD,Explicit,Intra,0,1,0.5,Explicit,Explicit,Intra,Intra
24932,831,"Genetic evidence reveals causal relationships between specific sleep traits and PPD, including sleep apnea syndrome, sleeplessness/insomnia, and tiredness. Whether certain sleep health indicators suggest a risk of postpartum depression or sleep issues that are caused by PPD, both may offer insights into the prevention and treatment of PPD",4,PPD,sleep issues,Explicit,Inter,0,PPD,Sleep issues,Explicit,Intra,1,1,1.0,Explicit,Explicit,Inter,Intra
6324,832,"This systematic review and meta-analysis indicate that iodine deficiency increases moderately the risk of developing thyroid nodules, while more than adequate and excessive iodine intake does not show a consistent effect. However, the heterogeneity of study results and the predominance of cross-sectional designs limit definitive conclusions. Further prospective studies are needed to clarify the causal relationship between iodine intake and thyroid nodules",0,iodine deficiency,risk of developing thyroid nodules,Explicit,Intra,0,iodine deficiency,moderate increase in the risk of developing thyroid nodules,Implicit,Intra,0,1,0.8571428571428572,Explicit,Implicit,Intra,Intra
6324,832,"This systematic review and meta-analysis indicate that iodine deficiency increases moderately the risk of developing thyroid nodules, while more than adequate and excessive iodine intake does not show a consistent effect. However, the heterogeneity of study results and the predominance of cross-sectional designs limit definitive conclusions. Further prospective studies are needed to clarify the causal relationship between iodine intake and thyroid nodules",1,more than adequate and excessive iodine intake,does not show a consistent effect,Explicit,Intra,0,iodine deficiency,moderate increase in the risk of developing thyroid nodules,Implicit,Intra,0,1,0.11111111111111112,Explicit,Implicit,Intra,Intra
18401,833,"This study found that obesity had a positive causal effect on SSTIs. Reasonable weight control is a possible way to reduce the occurrence of SSTIs, especially in patients undergoing surgery",0,obesity,positive causal effect on SSTIs,Explicit,Intra,0,Obesity,increased risk of SSTIs,Explicit,Intra,0,1,0.6111111111111112,Explicit,Explicit,Intra,Intra
18401,833,"This study found that obesity had a positive causal effect on SSTIs. Reasonable weight control is a possible way to reduce the occurrence of SSTIs, especially in patients undergoing surgery",1,reasonable weight control,reduce the occurrence of SSTIs,Implicit,Intra,0,Obesity,increased risk of SSTIs,Explicit,Intra,0,1,0.22222222222222224,Implicit,Explicit,Intra,Intra
24987,835,Our study provides a causal relationship between BPD and AF. This means that patients with BPD should be monitored for the occurrence of AF. Early screening and proper management of BPD may show anti-arrhythmic benefits,0,BPD,AF,Explicit,Intra,0,BPD,AF,Explicit,Intra,1,1,1.0,Explicit,Explicit,Intra,Intra
24987,835,Our study provides a causal relationship between BPD and AF. This means that patients with BPD should be monitored for the occurrence of AF. Early screening and proper management of BPD may show anti-arrhythmic benefits,1,Early screening and proper management of BPD,anti-arrhythmic benefits,Implicit,Intra,0,BPD,AF,Explicit,Intra,0,1,0.125,Implicit,Explicit,Intra,Intra
27332,837,"Ever smoked, alcoholic drinks per week, BMI, and age first had sexual intercourse were causally related to ED, while the potential connection between coffee intake, physical activity, recreational sedentary habits, and increased risk of ED needs to be further confirmed",0,Ever smoked,ED,Explicit,Intra,0,Ever smoked,ED,Explicit,Intra,1,1,1.0,Explicit,Explicit,Intra,Intra
27332,837,"Ever smoked, alcoholic drinks per week, BMI, and age first had sexual intercourse were causally related to ED, while the potential connection between coffee intake, physical activity, recreational sedentary habits, and increased risk of ED needs to be further confirmed",1,alcoholic drinks per week,ED,Explicit,Intra,1,alcoholic drinks per week,ED,Explicit,Intra,1,1,1.0,Explicit,Explicit,Intra,Intra
27332,837,"Ever smoked, alcoholic drinks per week, BMI, and age first had sexual intercourse were causally related to ED, while the potential connection between coffee intake, physical activity, recreational sedentary habits, and increased risk of ED needs to be further confirmed",2,BMI,ED,Explicit,Intra,2,BMI,ED,Explicit,Intra,1,1,1.0,Explicit,Explicit,Intra,Intra
27332,837,"Ever smoked, alcoholic drinks per week, BMI, and age first had sexual intercourse were causally related to ED, while the potential connection between coffee intake, physical activity, recreational sedentary habits, and increased risk of ED needs to be further confirmed",3,age first had sexual intercourse,ED,Explicit,Intra,3,age first had sexual intercourse,ED,Explicit,Intra,1,1,1.0,Explicit,Explicit,Intra,Intra
27182,838,"Gut microbiota and cytokines were causally associated with five types of dementia, and cytokines seemed not to be the mediating factors in the pathway from gut microbiota to dementia",0,gut microbiota,five types of dementia,Explicit,Intra,0,gut microbiota,five types of dementia,Explicit,Intra,1,1,1.0,Explicit,Explicit,Intra,Intra
27182,838,"Gut microbiota and cytokines were causally associated with five types of dementia, and cytokines seemed not to be the mediating factors in the pathway from gut microbiota to dementia",1,cytokines,five types of dementia,Explicit,Intra,1,cytokines,five types of dementia,Explicit,Intra,1,1,1.0,Explicit,Explicit,Intra,Intra
23838,839,"Medical residents experiencing depression can cause life-threatening harm to themselves and their patients. Treatment is available, but many do not seek help",0,Medical residents experiencing depression,life-threatening harm to themselves and their patients,Explicit,Intra,0,Medical residents experiencing depression,life-threatening harm to themselves,Explicit,Intra,0,1,0.8636363636363636,Explicit,Explicit,Intra,Intra
21153,841,"ADRs in hospitalized patients are an important clinical issue, resulting in a substantial socioeconomic burden. EMR-based strategy could be a useful tool for ADR monitoring and early detection",0,ADRs in hospitalized patients,important clinical issue,Implicit,Intra,0,ADRs in hospitalized patients,substantial socioeconomic burden,Explicit,Intra,0,1,0.5,Implicit,Explicit,Intra,Intra
21153,841,"ADRs in hospitalized patients are an important clinical issue, resulting in a substantial socioeconomic burden. EMR-based strategy could be a useful tool for ADR monitoring and early detection",1,ADRs in hospitalized patients,substantial socioeconomic burden,Implicit,Intra,0,ADRs in hospitalized patients,substantial socioeconomic burden,Explicit,Intra,1,1,1.0,Implicit,Explicit,Intra,Intra
19095,842,"The pandemic and its related restrictions negatively affected some service outcomes. This resulted in increased incidents of violence and increased use of restrictive interventions, beyond what would have been expected had the pandemic not occurred",0,The pandemic and its related restrictions,negatively affected some service outcomes,Implicit,Intra,1,The pandemic and its related restrictions,Negatively affected some service outcomes,Explicit,Intra,1,1,1.0,Implicit,Explicit,Intra,Intra
19095,842,"The pandemic and its related restrictions negatively affected some service outcomes. This resulted in increased incidents of violence and increased use of restrictive interventions, beyond what would have been expected had the pandemic not occurred",1,This resulted,increased incidents of violence,Explicit,Inter,0,The pandemic and its related restrictions,increased incidents of violence,Explicit,Inter,0,1,0.5,Explicit,Explicit,Inter,Inter
19095,842,"The pandemic and its related restrictions negatively affected some service outcomes. This resulted in increased incidents of violence and increased use of restrictive interventions, beyond what would have been expected had the pandemic not occurred",2,This resulted,increased use of restrictive interventions,Explicit,Inter,2,The pandemic and its related restrictions,increased use of restrictive interventions,Explicit,Inter,0,1,0.5,Explicit,Explicit,Inter,Inter
9174,845,"The study shows that the intended benefits of gatekeeping were illusionary largely due to weak and worsening primary care conditions, and delay, ineffectiveness or unintended consequences of several other ongoing reforms. One particularly dangerous development of the system, which deserves urgent attention, is the harming of the professional prospects of primary care doctors. Our findings highlight the need for coordination and prioritization in designing policies related to primary care and managing changes with multiple on-going reforms. The approach used here facilitates comprehensive study of intended and actual mechanisms, and demonstrates the challenges of a complex health system intervention in a dynamic environment",0,weak and worsening primary care conditions,intended benefits of gatekeeping being illusionary,Explicit,Intra,0,"weak and worsening primary care conditions, and delay, ineffectiveness or unintended consequences of several other ongoing reforms",the intended benefits of gatekeeping were illusionary largely,Explicit,Intra,0,1,0.6020066889632107,Explicit,Explicit,Intra,Intra
9174,845,"The study shows that the intended benefits of gatekeeping were illusionary largely due to weak and worsening primary care conditions, and delay, ineffectiveness or unintended consequences of several other ongoing reforms. One particularly dangerous development of the system, which deserves urgent attention, is the harming of the professional prospects of primary care doctors. Our findings highlight the need for coordination and prioritization in designing policies related to primary care and managing changes with multiple on-going reforms. The approach used here facilitates comprehensive study of intended and actual mechanisms, and demonstrates the challenges of a complex health system intervention in a dynamic environment",1,"delay, ineffectiveness or unintended consequences of several other ongoing reforms",intended benefits of gatekeeping being illusionary,Explicit,Intra,0,"weak and worsening primary care conditions, and delay, ineffectiveness or unintended consequences of several other ongoing reforms",the intended benefits of gatekeeping were illusionary largely,Explicit,Intra,0,1,0.7549857549857549,Explicit,Explicit,Intra,Intra
9174,845,"The study shows that the intended benefits of gatekeeping were illusionary largely due to weak and worsening primary care conditions, and delay, ineffectiveness or unintended consequences of several other ongoing reforms. One particularly dangerous development of the system, which deserves urgent attention, is the harming of the professional prospects of primary care doctors. Our findings highlight the need for coordination and prioritization in designing policies related to primary care and managing changes with multiple on-going reforms. The approach used here facilitates comprehensive study of intended and actual mechanisms, and demonstrates the challenges of a complex health system intervention in a dynamic environment",2,harming of the professional prospects of primary care doctors,deserves urgent attention,Implicit,Intra,0,"weak and worsening primary care conditions, and delay, ineffectiveness or unintended consequences of several other ongoing reforms",the intended benefits of gatekeeping were illusionary largely,Explicit,Intra,0,1,0.11538461538461539,Implicit,Explicit,Intra,Intra
28434,846,"The amount of weekly computer use was associated with changes in habitual spinal postures, and these depended on gender. These associations may result from temporary computer postures leading to adaptive neuromusculoskeletal changes, though further multivariate and longitudinal studies are needed to confirm causality. As some habitual posture changes may place a greater strain on the musculoskeletal system, computer use by adolescents should be viewed as a possible health concern",0,weekly computer use,changes in habitual spinal postures,Implicit,Intra,0,These associations may result from temporary computer postures,"adaptive neuromusculoskeletal changes, though further multivariate and longitudinal studies are needed to confirm causality.",Explicit,Intra,0,1,0.09090909090909091,Implicit,Explicit,Intra,Intra
28434,846,"The amount of weekly computer use was associated with changes in habitual spinal postures, and these depended on gender. These associations may result from temporary computer postures leading to adaptive neuromusculoskeletal changes, though further multivariate and longitudinal studies are needed to confirm causality. As some habitual posture changes may place a greater strain on the musculoskeletal system, computer use by adolescents should be viewed as a possible health concern",1,temporary computer postures,adaptive neuromusculoskeletal changes,Implicit,Inter,0,These associations may result from temporary computer postures,"adaptive neuromusculoskeletal changes, though further multivariate and longitudinal studies are needed to confirm causality.",Explicit,Intra,0,1,0.39037433155080214,Implicit,Explicit,Inter,Intra
28434,846,"The amount of weekly computer use was associated with changes in habitual spinal postures, and these depended on gender. These associations may result from temporary computer postures leading to adaptive neuromusculoskeletal changes, though further multivariate and longitudinal studies are needed to confirm causality. As some habitual posture changes may place a greater strain on the musculoskeletal system, computer use by adolescents should be viewed as a possible health concern",2,some habitual posture changes,greater strain on the musculoskeletal system,Implicit,Inter,0,These associations may result from temporary computer postures,"adaptive neuromusculoskeletal changes, though further multivariate and longitudinal studies are needed to confirm causality.",Explicit,Intra,0,0,0.0,Implicit,Explicit,Inter,Intra
25409,848,"Repeated adolescent nicotine vapor inhalation leads to enhanced liability for volitional exposure to nicotine vapor in adulthood in female rats, but minimal change in spontaneous locomotor behavior",0,Repeated adolescent nicotine vapor inhalation,enhanced liability for volitional exposure to nicotine vapor in adulthood in female rats,Explicit,Intra,0,Repeated adolescent nicotine vapor inhalation,enhanced liability for volitional exposure to nicotine vapor in adulthood in female rats,Explicit,Intra,1,1,1.0,Explicit,Explicit,Intra,Intra
25409,848,"Repeated adolescent nicotine vapor inhalation leads to enhanced liability for volitional exposure to nicotine vapor in adulthood in female rats, but minimal change in spontaneous locomotor behavior",1,Repeated adolescent nicotine vapor inhalation,minimal change in spontaneous locomotor behavior,Explicit,Intra,0,Repeated adolescent nicotine vapor inhalation,enhanced liability for volitional exposure to nicotine vapor in adulthood in female rats,Explicit,Intra,0,1,0.5526315789473684,Explicit,Explicit,Intra,Intra
8598,849,Warm weather appears to increase the risk of drug-induced hyponatremia,0,Warm weather,increase the risk of drug-induced hyponatremia,Implicit,Intra,0,warm weather,increased risk of drug induced hyponatremia,Implicit,Intra,0,1,0.75,Implicit,Implicit,Intra,Intra
29203,850,These findings document that interventions can be effective in increasing PA among patients with cardiovascular diseases. Primary research should compare interventions in randomized trials to confirm causal relationships,0,interventions,increasing PA among patients with cardiovascular diseases,Explicit,Intra,0,interventions,increasing PA among patients with cardiovascular diseases,Implicit,Intra,1,1,1.0,Explicit,Implicit,Intra,Intra
16273,853,"Our findings provided evidence of a causal association between gut microbiota and TFM in UK adults and identified specific bacteria taxa that may regulate the fat metabolism, thus offering new direction for the treatment of obesity",0,gut microbiota,TFM,Explicit,Intra,0,Gut microbiota,TFM,Explicit,Intra,1,1,1.0,Explicit,Explicit,Intra,Intra
16273,853,"Our findings provided evidence of a causal association between gut microbiota and TFM in UK adults and identified specific bacteria taxa that may regulate the fat metabolism, thus offering new direction for the treatment of obesity",1,specific bacteria taxa,regulate the fat metabolism,Explicit,Intra,0,Gut microbiota,TFM,Explicit,Intra,0,0,0.0,Explicit,Explicit,Intra,Intra
7645,854,"In this pre-industrial rural region in northern Sweden, higher levels of rain during the autumn increased the annual number of deaths. Harvest quality might be one critical factor in the causal pathway, affecting nutritional status and susceptibility to infectious diseases. Autumn rain probably also contributed to the spread of air-borne diseases in crowded living conditions. Children beyond infancy appeared most vulnerable to climate impacts",0,higher levels of rain during the autumn,annual number of deaths,Explicit,Intra,0,higher levels of rain during the autumn,increased annual number of deaths,Implicit,Intra,0,1,0.9444444444444444,Explicit,Implicit,Intra,Intra
7645,854,"In this pre-industrial rural region in northern Sweden, higher levels of rain during the autumn increased the annual number of deaths. Harvest quality might be one critical factor in the causal pathway, affecting nutritional status and susceptibility to infectious diseases. Autumn rain probably also contributed to the spread of air-borne diseases in crowded living conditions. Children beyond infancy appeared most vulnerable to climate impacts",1,harvest quality,nutritional status,Implicit,Inter,0,higher levels of rain during the autumn,increased annual number of deaths,Implicit,Intra,0,0,0.0,Implicit,Implicit,Inter,Intra
7645,854,"In this pre-industrial rural region in northern Sweden, higher levels of rain during the autumn increased the annual number of deaths. Harvest quality might be one critical factor in the causal pathway, affecting nutritional status and susceptibility to infectious diseases. Autumn rain probably also contributed to the spread of air-borne diseases in crowded living conditions. Children beyond infancy appeared most vulnerable to climate impacts",2,harvest quality,susceptibility to infectious diseases,Implicit,Inter,0,higher levels of rain during the autumn,increased annual number of deaths,Implicit,Intra,0,0,0.0,Implicit,Implicit,Inter,Intra
7645,854,"In this pre-industrial rural region in northern Sweden, higher levels of rain during the autumn increased the annual number of deaths. Harvest quality might be one critical factor in the causal pathway, affecting nutritional status and susceptibility to infectious diseases. Autumn rain probably also contributed to the spread of air-borne diseases in crowded living conditions. Children beyond infancy appeared most vulnerable to climate impacts",3,autumn rain,spread of air-borne diseases,Implicit,Inter,0,higher levels of rain during the autumn,increased annual number of deaths,Implicit,Intra,0,1,0.33333333333333337,Implicit,Implicit,Inter,Intra
5185,855,"Stroke is a major cause of death and disability worldwide. Identifying individuals who would benefit most from preventative interventions, such as antiplatelet therapy, is critical for personalized stroke prevention. However, traditional methods for estimating treatment effects often focus on the average effect across a population and do not account for individual variations in risk and treatment response",0,Stroke,death,Explicit,Intra,0,Stroke,Death,Explicit,Intra,1,1,1.0,Explicit,Explicit,Intra,Intra
5185,855,"Stroke is a major cause of death and disability worldwide. Identifying individuals who would benefit most from preventative interventions, such as antiplatelet therapy, is critical for personalized stroke prevention. However, traditional methods for estimating treatment effects often focus on the average effect across a population and do not account for individual variations in risk and treatment response",1,Stroke,disability,Explicit,Intra,1,Stroke,Disability,Explicit,Intra,1,1,1.0,Explicit,Explicit,Intra,Intra
23555,856,"This study suggests that implementing HoL in virtual teamwork is challenging, complex and requires adjustments in leadership behavior. Thereby, the study provides initial empirical findings for a holistic approach to HoL implementation in virtual teams, considering beneficial multilevel preconditions. Due to a limited generalization of present results, longitudinal and interventional studies will be necessary for the analysis of causal relationships in future research. In particular, a holistic research perspective in order to understand the complex, contextual interdependencies of leadership is recommended. In practice, based on a differentiated needs analysis, structural preventive measures for a holistic organizational development as well as behavioral preventive measures for ongoing personnel development are recommended",0,a limited generalization of present results,longitudinal and interventional studies will be necessary,Explicit,Intra,0,a limited generalization of present results,longitudinal and interventional studies will be necessary for the analysis of causal relationships in future research,Explicit,Intra,0,1,0.8043478260869565,Explicit,Explicit,Intra,Intra
7258,857,"There is a risk of measurement bias due to the use of an unvalidated instrument. Students who have greater knowledge of patient safety or QI might recall exposure at a greater frequency, inflating the association between exposure and knowledge. Also, this is a cross-sectional study, so we cannot draw conclusions about causality",0,use of an unvalidated instrument,measurement bias,Explicit,Intra,0,use of an unvalidated instrument,risk of measurement bias,Explicit,Intra,0,1,0.8333333333333333,Explicit,Explicit,Intra,Intra
7258,857,"There is a risk of measurement bias due to the use of an unvalidated instrument. Students who have greater knowledge of patient safety or QI might recall exposure at a greater frequency, inflating the association between exposure and knowledge. Also, this is a cross-sectional study, so we cannot draw conclusions about causality",1,students having greater knowledge of patient safety or QI,recall exposure at a greater frequency,Implicit,Intra,0,use of an unvalidated instrument,risk of measurement bias,Explicit,Intra,0,1,0.07142857142857142,Implicit,Explicit,Intra,Intra
7258,857,"There is a risk of measurement bias due to the use of an unvalidated instrument. Students who have greater knowledge of patient safety or QI might recall exposure at a greater frequency, inflating the association between exposure and knowledge. Also, this is a cross-sectional study, so we cannot draw conclusions about causality",2,recall exposure at a greater frequency,inflate the association between exposure and knowledge,Implicit,Intra,0,use of an unvalidated instrument,risk of measurement bias,Explicit,Intra,0,0,0.0,Implicit,Explicit,Intra,Intra
27000,858,"MR analyses identified several gut microbiota taxa that have a causal relationship with IA. Future research should prioritize understanding the mechanisms underlying this causal relationship, as it is expected to contribute to the development of new methods for predicting and treating IA",0,several gut microbiota taxa,IA,Explicit,Intra,0,several gut microbiota taxa,IA,Explicit,Intra,1,1,1.0,Explicit,Explicit,Intra,Intra
27000,858,"MR analyses identified several gut microbiota taxa that have a causal relationship with IA. Future research should prioritize understanding the mechanisms underlying this causal relationship, as it is expected to contribute to the development of new methods for predicting and treating IA",1,mechanisms underlying this causal relationship,development of new methods for predicting and treating IA,Implicit,Inter,0,several gut microbiota taxa,IA,Explicit,Intra,0,1,0.09999999999999999,Implicit,Explicit,Inter,Intra
20458,859,Several microbial taxa were discovered to be causally linked to ITP in this MR investigation. The findings improve our understanding of the gut microbiome in the risk of ITP,0,several microbial taxa,ITP,Explicit,Intra,0,Several microbial taxa,ITP,Explicit,Intra,1,1,1.0,Explicit,Explicit,Intra,Intra
20458,859,Several microbial taxa were discovered to be causally linked to ITP in this MR investigation. The findings improve our understanding of the gut microbiome in the risk of ITP,1,findings,improve understanding of the gut microbiome in the risk of ITP,Implicit,Inter,0,Several microbial taxa,ITP,Explicit,Intra,0,1,0.08333333333333334,Implicit,Explicit,Inter,Intra
20878,861,"Robust evidence was demonstrated for an independent, causal effect of BMI in increasing the risk of PDR. Further studies are required to understand the potential biological mechanisms underlying this causal relationship",0,BMI,risk of PDR,Explicit,Intra,0,BMI,increasing the risk of PDR,Explicit,Intra,0,1,0.875,Explicit,Explicit,Intra,Intra
17044,862,GM transplanted from young rats alleviated bone loss in aged rats with senile osteoporosis by improving gut microbiome composition and intestinal barrier function. These data might provide a scientific basis for future clinical treatment of osteoporosis through FMT,0,GM transplanted from young rats,alleviated bone loss in aged rats with senile osteoporosis,Explicit,Intra,0,GM transplanted from young rats,alleviated bone loss in aged rats with senile osteoporosis,Implicit,Intra,1,1,1.0,Explicit,Implicit,Intra,Intra
17044,862,GM transplanted from young rats alleviated bone loss in aged rats with senile osteoporosis by improving gut microbiome composition and intestinal barrier function. These data might provide a scientific basis for future clinical treatment of osteoporosis through FMT,1,improving gut microbiome composition,alleviated bone loss in aged rats with senile osteoporosis,Implicit,Intra,0,GM transplanted from young rats,alleviated bone loss in aged rats with senile osteoporosis,Implicit,Intra,0,1,0.5,Implicit,Implicit,Intra,Intra
17044,862,GM transplanted from young rats alleviated bone loss in aged rats with senile osteoporosis by improving gut microbiome composition and intestinal barrier function. These data might provide a scientific basis for future clinical treatment of osteoporosis through FMT,2,improving intestinal barrier function,alleviated bone loss in aged rats with senile osteoporosis,Implicit,Intra,0,GM transplanted from young rats,alleviated bone loss in aged rats with senile osteoporosis,Implicit,Intra,0,1,0.5,Implicit,Implicit,Intra,Intra
29337,863,"Our results show that aging significantly increases stromal/osteoblastic cell-induced osteoclastogenesis, promotes expansion of the osteoclast precursor pool and alters the relationship between osteoblasts and osteoclasts in cancellous bone",0,aging,stromal/osteoblastic cell-induced osteoclastogenesis,Implicit,Intra,0,aging,increased stromal/osteoblastic cell-induced osteoclastogenesis,Implicit,Intra,0,1,0.9285714285714286,Implicit,Implicit,Intra,Intra
29337,863,"Our results show that aging significantly increases stromal/osteoblastic cell-induced osteoclastogenesis, promotes expansion of the osteoclast precursor pool and alters the relationship between osteoblasts and osteoclasts in cancellous bone",1,aging,expansion of the osteoclast precursor pool,Implicit,Intra,1,aging,expansion of the osteoclast precursor pool,Implicit,Intra,1,1,1.0,Implicit,Implicit,Intra,Intra
29337,863,"Our results show that aging significantly increases stromal/osteoblastic cell-induced osteoclastogenesis, promotes expansion of the osteoclast precursor pool and alters the relationship between osteoblasts and osteoclasts in cancellous bone",2,aging,alteration of the relationship between osteoblasts and osteoclasts,Implicit,Intra,2,aging,alteration in the relationship between osteoblasts and osteoclasts in cancellous bone,Implicit,Intra,0,1,0.868421052631579,Implicit,Implicit,Intra,Intra
14226,865,"Isotretinoin is a synthetic retinoid, derived from vitamin A, with multiple mechanisms of action and highly effective in the treatment of acne, despite common adverse events, manageable and dose-dependent. Dose-independent teratogenicity is the most serious. Therefore, off-label prescriptions require strict criteria",0,dose-independent teratogenicity,most serious adverse event,Implicit,Intra,0,Dose-independent teratogenicity is the most serious,off-label prescriptions require strict criteria,Implicit,Intra,0,1,0.25,Implicit,Implicit,Intra,Intra
8548,866,"ADRs were a common cause of hospitalisation. The majority of ADRs were preventable, highlighting the need for monitoring and review of patients with lower BMI, ADR history, renal and liver diseases, multiple comorbidities and medications. ADR predictors should be integrated into clinical pathways and pharmacovigilance systems",0,ADRs,hospitalisation,Explicit,Intra,0,ADRs,Hospitalision,Explicit,Intra,0,1,0.5,Explicit,Explicit,Intra,Intra
8548,866,"ADRs were a common cause of hospitalisation. The majority of ADRs were preventable, highlighting the need for monitoring and review of patients with lower BMI, ADR history, renal and liver diseases, multiple comorbidities and medications. ADR predictors should be integrated into clinical pathways and pharmacovigilance systems",1,preventable ADRs,highlighting the need for monitoring and review,Implicit,Inter,0,ADRs,Hospitalision,Explicit,Intra,0,1,0.3333333333333333,Implicit,Explicit,Inter,Intra
23326,867,"This systematic review was the first to summarize evidence of structural and functional stress-associated alterations in the brain, which were found to be directly and indirectly associated with ADHD outcomes. Overall, stress requires consideration as a significant determinant of neurodevelopmental outcomes in ADHD. However, extensive further research is warranted due to little available evidence and the difficulty of obtaining clear results. In light of such a complex research question, in order to confirm findings, provide further evidence, and establish causality systematic longitudinal studies would be required. Investigating the topic may provide invaluable information when it comes to tailoring prevention and treatment strategies in ADHD, and should be pursued in order to integrate the factor of stress into a more comprehensive understanding of ADHD",0,stress,neurodevelopmental outcomes in ADHD,Implicit,Intra,0,little available evidence and the difficulty of obtaining clear results,extensive further research is warranted,Explicit,Intra,0,0,0.0,Implicit,Explicit,Intra,Intra
23326,867,"This systematic review was the first to summarize evidence of structural and functional stress-associated alterations in the brain, which were found to be directly and indirectly associated with ADHD outcomes. Overall, stress requires consideration as a significant determinant of neurodevelopmental outcomes in ADHD. However, extensive further research is warranted due to little available evidence and the difficulty of obtaining clear results. In light of such a complex research question, in order to confirm findings, provide further evidence, and establish causality systematic longitudinal studies would be required. Investigating the topic may provide invaluable information when it comes to tailoring prevention and treatment strategies in ADHD, and should be pursued in order to integrate the factor of stress into a more comprehensive understanding of ADHD",1,stress,ADHD outcomes,Implicit,Inter,0,little available evidence and the difficulty of obtaining clear results,extensive further research is warranted,Explicit,Intra,0,0,0.0,Implicit,Explicit,Inter,Intra
147,868,"When WHO's classification of obesity was used for Asian populations, prepregnancy obesity without metabolic problems did not increase the risk for GDM, preeclampsia and fetal macrosomia in Thai women. But, prepregnancy obesity continued to increase the risk for developing gestational hypertension",0,prepregnancy obesity,risk for developing gestational hypertension,Implicit,Inter,0,prepregnancy obesity,increases the risk for developing gestational hypertension,Implicit,Intra,0,1,0.9166666666666666,Implicit,Implicit,Inter,Intra
